[1779615865] Trying slug: btc-updown-5m-1779615600
[1779615866] Market: Bitcoin Up or Down - May 24, 5:40AM-5:45AM ET | Bid: 50¢
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 450 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 415 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 380 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 356 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 335 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 317 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 299 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 18¢ | Size: 131 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 284 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 78¢ | Size: 25 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 79¢ | Size: 32 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 265 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 279 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 2¢ | Size: 3395 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 298 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 280 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 287 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 298 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 317 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 18¢ | Size: 59 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 328 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 77¢ | Size: 35 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 339 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 354 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 86¢ | Size: 26 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 340 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 79¢ | Size: 17 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 355 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11757 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11762 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 348 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 80¢ | Size: 32 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11262 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 334 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 349 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 364 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 354 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 374 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 390 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11267 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 409 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 390 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 72¢ | Size: 25 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 379 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 368 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 357 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 338 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11262 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 323 | Bid: 83¢ | Momentum: +0.00%
